                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0759,                0.92423,                 1.2099,                0.81479,                0.71866,                0.81937,                0.56645,                0.84812,                0.61239,                 1.0316,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0678,                0.91354,                 1.2063,                0.82215,                0.71728,                0.82372,                0.56984,                0.84485,                 0.6103,                 1.0321,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0593,                0.89396,                  1.207,                0.82695,                0.71347,                0.82557,                0.56909,                0.84083,                 0.6027,                 1.0264,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.0711,                0.90375,                 1.2106,                0.81888,                0.71662,                0.81821,                0.56452,                0.84336,                0.60332,                 1.0268,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0542,                0.88208,                 1.2017,                0.81111,                0.72077,                0.81934,                0.56228,                0.84158,                0.60037,                 1.0252,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0569,                0.88925,                 1.1993,                0.82019,                 0.7127,                0.81912,                0.55753,                0.83641,                0.60048,                 1.0247,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0463,                0.89049,                    1.2,                0.83305,                0.73648,                0.83642,                0.58047,                0.83199,                0.59141,                 1.0208,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.0468,                0.88664,                    1.2,                0.84645,                0.72033,                0.83989,                0.58274,                0.82394,                0.58499,                 1.0135,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0349,                0.86672,                 1.1877,                0.85388,                0.71596,                0.83776,                0.58597,                0.82464,                0.58339,                 1.0134,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0457,                0.88176,                 1.1935,                0.86203,                0.72076,                0.83902,                0.58391,                0.82202,                0.57952,                 1.0115,             0.00021471,             0.00021471,             0.00021471
                     91,                0.94015,                0.69613,                 1.1241,                0.82776,                0.74194,                0.83367,                0.57982,                0.83451,                0.59198,                 1.0201,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.9191,                0.67932,                 1.1133,                0.83631,                0.73647,                0.83433,                0.58273,                0.83517,                0.58913,                 1.0183,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.9178,                0.68173,                 1.1064,                0.81681,                0.73885,                0.82846,                 0.5758,                0.83109,                0.58925,                 1.0169,              0.0001652,              0.0001652,              0.0001652
                     94,                0.90706,                0.67021,                 1.1083,                0.83772,                0.71978,                0.82828,                0.57204,                0.82822,                0.58723,                 1.0139,              0.0001487,              0.0001487,              0.0001487
                     95,                0.90378,                  0.664,                 1.1054,                0.83712,                0.71614,                 0.8279,                0.57056,                 0.8244,                 0.5854,                 1.0118,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.9022,                0.65697,                  1.101,                0.84534,                0.72383,                0.83461,                0.57492,                0.81874,                0.58174,                 1.0086,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.8901,                0.65608,                 1.0916,                0.85521,                0.72044,                 0.8298,                0.57674,                0.81946,                0.57913,                 1.0066,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.88437,                0.65279,                 1.0891,                0.84127,                0.72564,                 0.8333,                 0.5802,                0.81532,                0.57554,                 1.0047,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.88368,                0.63955,                 1.0854,                0.83106,                0.73322,                0.82972,                0.57441,                0.81541,                0.57487,                 1.0039,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.87453,                0.64039,                 1.0839,                0.83175,                0.72977,                0.83243,                0.57777,                0.81247,                0.57337,                 1.0025,             4.9677e-05,             4.9677e-05,             4.9677e-05
